split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.2266,0.272629,-0.036169,0.145313,0.0,0.005673,32,-0.046029,-0.03947,164,220,180,234,11,3,0,16,106,False,False,0,2,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.227297,-0.958475,0.643225,1.278536,1.193634,1.35826,-0.136132,0.340625,0.059266
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.266818,0.299071,-0.024827,0.137914,0.0,0.00491,41,-0.032252,-0.03947,164,220,180,234,11,3,0,16,106,False,False,0,2,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.227297,-0.958475,0.643225,1.278536,1.193634,1.35826,-0.136132,0.340625,0.059266
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.32525,0.344293,-0.014165,0.042457,0.0,9.7e-05,1,-0.019042,-0.066695,195,220,180,205,0,0,0,23,217,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.402348,0.20906,0.365789,0.095982,0.401836,0.740588,-0.001585,0.850469,0.045062
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.402161,0.42204,-0.013979,0.044043,0.0,7.2e-05,1,-0.019879,-0.066695,195,220,180,205,0,0,0,23,217,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.402348,0.20906,0.365789,0.095982,0.401836,0.740588,-0.001585,0.850469,0.045062
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.29568,0.362189,-0.048825,0.107074,0.0,0.00158,146,-0.066509,-0.027472,196,220,180,202,110,4,0,6,152,False,False,1,1,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.5,0.211464,-0.5139,1.07111,-0.718946,0.046768,-1.2,0.921305,0.002334
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.222422,0.23565,-0.010705,0.134359,0.0,0.00199,323,-0.013228,-0.027472,196,220,180,202,110,4,0,6,152,False,False,1,1,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.5,0.211464,-0.5139,1.07111,-0.718946,0.046768,-1.2,0.921305,0.002334
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.21788,0.272629,-0.043021,0.142594,0.0,0.00871,181,-0.054749,-0.027932,189,220,180,210,19,10,0,22,86,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.170227,-0.236919,1.2,0.520232,0.888541,0.087465,0.169773,0.584433,0.010114
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.27627,0.299071,-0.017552,0.135694,0.0,0.008269,274,-0.022801,-0.027932,189,220,180,210,19,10,0,22,86,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.170227,-0.236919,1.2,0.520232,0.888541,0.087465,0.169773,0.584433,0.010114
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.303419,0.344293,-0.030405,0.151312,0.0,0.005108,138,-0.040873,-0.044143,190,220,180,208,0,0,0,32,108,False,False,1,1,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.5,-0.085928,0.070176,-0.762301,-0.145085,0.160911,-0.172663,0.353496,0.010969
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.384425,0.42204,-0.026452,0.152761,0.0,0.005995,225,-0.037615,-0.044143,190,220,180,208,0,0,0,32,108,False,False,1,1,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.5,-0.085928,0.070176,-0.762301,-0.145085,0.160911,-0.172663,0.353496,0.010969
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,-0.036814,201,220,180,198,106,5,0,8,232,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.362685,-0.088657,0.450697,1.188472,0.289955,0.236268,-0.200501,0.939051,0.0251
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,-0.036814,201,220,180,198,106,5,0,8,232,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.362685,-0.088657,0.450697,1.188472,0.289955,0.236268,-0.200501,0.939051,0.0251
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.237846,0.272629,-0.027331,0.143897,0.0,0.000527,4,-0.034783,-0.017346,159,220,180,238,12,10,0,19,122,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.442333,-0.425508,0.666116,0.202354,-0.555077,0.097662,0.192725,0.591833,0.049967
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.300974,0.299071,0.001465,0.123526,0.0,0.001755,19,0.001903,-0.017346,159,220,180,238,12,10,0,19,122,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.442333,-0.425508,0.666116,0.202354,-0.555077,0.097662,0.192725,0.591833,0.049967
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.066771,191,220,180,209,0,0,0,26,221,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,200,61,-0.100867,-0.108848,-0.705589,0.133388,0.601265,1.442137,-0.017146,0.97678,0.058169
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.066771,191,220,180,209,0,0,0,26,221,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,200,61,-0.100867,-0.108848,-0.705589,0.133388,0.601265,1.442137,-0.017146,0.97678,0.058169
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,-0.036814,199,220,180,200,114,4,0,6,236,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,200,196,-0.100867,-0.108848,-0.705589,0.133388,0.601265,1.442137,-0.017146,0.97678,0.058169
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,-0.036814,199,220,180,200,114,4,0,6,236,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,200,196,-0.100867,-0.108848,-0.705589,0.133388,0.601265,1.442137,-0.017146,0.97678,0.058169
