split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_validation_relative_total_return,train_diag_active_selected,train_diag_selected_via_pareto,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_5,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_5,param_w_vol_21,param_w_vol_ratio_5_21,param_w_ret_accel,param_tactical_scale,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.263045,0.272629,-0.007531,0.027679,0.0,0.006113,138,-0.009584,0.001091,437,260,220,9,11,5,0,30,0,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.002175,-0.00365,0.005926,0.005992,True,True,200,57,0.105062,-0.688016,-0.751281,0.09228,0.059783,-0.408686,0.133832,-0.164178,-0.090782,-0.699063,-0.380972,0.105149,0.498201,0.01209
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.306855,0.299071,0.005992,0.025953,0.0,0.005355,179,0.007785,0.001091,437,260,220,9,11,5,0,30,0,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.002175,-0.00365,0.005926,0.005992,True,True,200,57,0.105062,-0.688016,-0.751281,0.09228,0.059783,-0.408686,0.133832,-0.164178,-0.090782,-0.699063,-0.380972,0.105149,0.498201,0.01209
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.342968,0.344293,-0.000986,0.033279,0.0,0.007734,135,-0.001325,-0.016442,373,260,220,74,0,0,0,65,0,0,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,0.001125,-0.019762,0.015031,0.002495,True,True,200,61,0.172451,0.034598,-0.324312,-0.146321,-0.457971,0.183071,0.553076,-0.525574,-0.007665,0.290419,0.360497,0.344416,0.319804,0.010158
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.425588,0.42204,0.002495,0.053534,0.0,0.009562,245,0.003548,-0.016442,373,260,220,74,0,0,0,65,0,0,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,0.001125,-0.019762,0.015031,0.002495,True,True,200,61,0.172451,0.034598,-0.324312,-0.146321,-0.457971,0.183071,0.553076,-0.525574,-0.007665,0.290419,0.360497,0.344416,0.319804,0.010158
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.315444,0.362189,-0.034316,0.056426,0.0,0.005665,104,-0.046745,0.004522,463,260,220,0,0,8,0,9,0,0,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.00548,-0.008661,0.010044,0.014287,True,True,200,196,-0.132605,-0.109496,-0.647223,0.191978,-0.292047,-0.476101,0.570934,-1.097703,-0.541504,0.313819,0.302813,0.341341,0.687187,0.012675
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.253304,0.23565,0.014287,0.076103,0.0,0.009842,252,0.017654,0.004522,463,260,220,0,0,8,0,9,0,0,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.00548,-0.008661,0.010044,0.014287,True,True,200,196,-0.132605,-0.109496,-0.647223,0.191978,-0.292047,-0.476101,0.570934,-1.097703,-0.541504,0.313819,0.302813,0.341341,0.687187,0.012675
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.242423,0.272629,-0.023736,0.062886,0.0,0.018209,214,-0.030207,-0.010771,432,260,220,14,8,6,0,38,0,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.006704,-0.008852,0.013963,0.019496,True,True,200,57,-0.049972,0.116625,-0.894486,-0.234872,-0.509647,-0.249951,0.468031,-0.95568,-0.461042,-0.674619,0.829259,0.214439,0.283414,0.014751
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.324397,0.299071,0.019496,0.064911,0.0,0.013457,246,0.025326,-0.010771,432,260,220,14,8,6,0,38,0,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.006704,-0.008852,0.013963,0.019496,True,True,200,57,-0.049972,0.116625,-0.894486,-0.234872,-0.509647,-0.249951,0.468031,-0.95568,-0.461042,-0.674619,0.829259,0.214439,0.283414,0.014751
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.346639,0.344293,0.001745,0.02667,0.0,0.004305,71,0.002346,-0.020809,375,260,220,60,0,0,0,74,0,0,False,False,1,2,0.3,0.395,0.0,0.35,0.4,0.25,0.002712,-0.012735,0.012234,0.007964,True,True,200,61,0.493496,-0.384412,-0.58099,-0.228648,0.799095,-0.041883,0.029562,-0.932835,-0.959941,0.59827,0.97069,0.170783,0.456437,0.013417
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.433365,0.42204,0.007964,0.039408,0.0,0.00604,148,0.011324,-0.020809,375,260,220,60,0,0,0,74,0,0,False,False,1,2,0.3,0.395,0.0,0.35,0.4,0.25,0.002712,-0.012735,0.012234,0.007964,True,True,200,61,0.493496,-0.384412,-0.58099,-0.228648,0.799095,-0.041883,0.029562,-0.932835,-0.959941,0.59827,0.97069,0.170783,0.456437,0.013417
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.327248,0.362189,-0.025651,0.03357,0.0,0.006183,143,-0.034941,0.015073,462,260,220,1,0,5,0,14,0,0,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,0.005389,-0.005849,0.008096,0.013964,True,True,200,196,0.130827,-0.176622,-0.607773,-0.036252,0.815044,-0.718813,0.466469,-1.125792,-0.015489,-0.023121,0.728418,0.343567,0.684349,0.005903
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.252904,0.23565,0.013964,0.052362,0.0,0.010206,331,0.017254,0.015073,462,260,220,1,0,5,0,14,0,0,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,0.005389,-0.005849,0.008096,0.013964,True,True,200,196,0.130827,-0.176622,-0.607773,-0.036252,0.815044,-0.718813,0.466469,-1.125792,-0.015489,-0.023121,0.728418,0.343567,0.684349,0.005903
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.257654,0.272629,-0.011767,0.022142,0.0,0.01305,234,-0.014975,-0.004951,442,260,220,6,12,7,0,30,0,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.002049,-0.005328,0.006249,0.005886,True,True,200,57,0.398306,-0.877462,-0.163029,-0.352391,-0.698205,0.124252,0.545003,-0.409773,-0.932231,-0.688457,-0.180111,0.119425,0.329165,0.005313
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.306717,0.299071,0.005886,0.02284,0.0,0.009293,262,0.007647,-0.004951,442,260,220,6,12,7,0,30,0,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.002049,-0.005328,0.006249,0.005886,True,True,200,57,0.398306,-0.877462,-0.163029,-0.352391,-0.698205,0.124252,0.545003,-0.409773,-0.932231,-0.688457,-0.180111,0.119425,0.329165,0.005313
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.337106,0.344293,-0.005346,0.020505,0.0,0.006208,104,-0.007186,-0.022424,381,260,220,58,0,0,0,59,0,0,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,0.000351,-0.009645,0.007159,0.00114,True,True,200,61,-0.156072,0.542344,-0.527064,0.810883,-0.656854,-0.483312,0.553122,-1.017707,-0.061352,-0.075519,-0.927616,0.116782,0.238754,0.012663
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.423662,0.42204,0.00114,0.031224,0.0,0.006144,161,0.001622,-0.022424,381,260,220,58,0,0,0,59,0,0,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,0.000351,-0.009645,0.007159,0.00114,True,True,200,61,-0.156072,0.542344,-0.527064,0.810883,-0.656854,-0.483312,0.553122,-1.017707,-0.061352,-0.075519,-0.927616,0.116782,0.238754,0.012663
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.345457,0.362189,-0.012284,0.025045,0.0,0.010583,122,-0.016733,0.012389,464,260,220,1,0,6,0,11,0,0,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.003593,-0.008364,0.010167,0.010196,True,True,200,196,0.317987,0.514379,-0.270265,0.492191,0.064969,-0.580992,0.141833,-0.549751,-0.646579,-0.06435,0.814469,0.236223,0.23637,0.015504
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.248248,0.23565,0.010196,0.028617,0.0,0.012901,197,0.012599,0.012389,464,260,220,1,0,6,0,11,0,0,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.003593,-0.008364,0.010167,0.010196,True,True,200,196,0.317987,0.514379,-0.270265,0.492191,0.064969,-0.580992,0.141833,-0.549751,-0.646579,-0.06435,0.814469,0.236223,0.23637,0.015504
