feature,corr_with_test_rel
policy_turnover,-0.18716478224711755
train_diag_active_selected,-0.1802038177032676
train_diag_tail_high_vol_share,-0.11230118852023156
train_diag_tail_drawdown_share,-0.09581471401335964
train_diag_robust_window_min_relative,-0.08821275274478445
train_diag_gate_fail_overfit_gap,-0.06257518591638939
train_diag_validation_relative_total_return,-0.03680551160238277
param_tactical_scale,0.0987229526492464
train_diag_robust_window_std_relative,0.10646213150230822
train_diag_gate_fail_regime_shift,0.18033384693446067
