run,cached,returncode,name,ridge_l2,target_mode,action_smoothing,scale_turnover_penalty,min_signal_scale,max_signal_scale,min_spy_weight,max_spy_weight,initial_spy_weight,no_trade_band,profile,transaction_cost_bps,slippage_bps,seed,gate,gate_scale,n_folds,min_robust_min_relative,min_active_fraction,mean_test_relative,mean_validation_relative,robust_min_test_relative,beat_hold_fraction,active_fraction,mean_turnover,worst_daily_relative_return,worst_max_relative_drawdown,path_bootstrap_mean_test_relative_p05,path_bootstrap_mean_test_relative_p50,path_bootstrap_mean_test_relative_p95,path_bootstrap_robust_min_test_relative_p05,path_bootstrap_robust_min_test_relative_p50,path_bootstrap_robust_min_test_relative_p95,overall_gate_passed,validation_gate_passed,validation_gate_value,validation_gate_threshold,robust_gate_passed,robust_gate_value,robust_gate_threshold,active_gate_passed,active_gate_value,active_gate_threshold,summary_csv,detailed_json,wealth_first_score
promoted_tanh_c12_s5_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,12.0,12.0,5,055,bps,5,0.0,0.01,0.006692858974178195,0.010311074283502997,0.003661326711706714,1.0,1.0,0.0012193466966300562,-0.0038757696568296,0.0119498567330903,0.0024981487756956223,0.00668450115024184,0.01123556230954203,-0.0095012944475164,-0.0010208069245216111,0.004930371480545283,True,True,0.010311074283502997,0.0055,True,0.003661326711706714,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c12_s5_g055/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c12_s5_g055/main4_gate055_f5_s5_detailed.json,0.0076090123075590104
promoted_tanh_c12_s17_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,12.0,12.0,17,055,bps,5,0.0,0.01,0.006692858974178195,0.010311074283502997,0.003661326711706714,1.0,1.0,0.0012193466966300562,-0.0038757696568296,0.0119498567330903,0.002312159678023802,0.006701175838107554,0.010947735112446497,-0.011844625124838692,-0.00041003503969905264,0.00538875830461696,True,True,0.010311074283502997,0.0055,True,0.003661326711706714,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c12_s17_g055/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c12_s17_g055/main4_gate055_f5_s17_detailed.json,0.0076090123075590104
promoted_tanh_c18_s5_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,18.0,18.0,5,055,bps,5,0.0,0.01,0.005504661059044569,0.009364197063137469,0.0030426861714873965,1.0,1.0,0.0010984751142453944,-0.0038757696568296,0.0120457485660007,0.0010652228152787724,0.005469627121922083,0.00954921003666118,-0.011279831951568686,-0.0010971343064850592,0.00439649464880495,True,True,0.009364197063137469,0.0055,True,0.0030426861714873965,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c18_s5_g055/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c18_s5_g055/main4_gate055_f5_s5_detailed.json,0.006202147809104221
promoted_tanh_c18_s17_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,18.0,18.0,17,055,bps,5,0.0,0.01,0.005504661059044569,0.009364197063137469,0.0030426861714873965,1.0,1.0,0.0010984751142453944,-0.0038757696568296,0.0120457485660007,0.0017067691057517298,0.005381923795426203,0.009847820880900549,-0.012566667772593942,-0.0006251172859508825,0.003484608401681122,True,True,0.009364197063137469,0.0055,True,0.0030426861714873965,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c18_s17_g055/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c18_s17_g055/main4_gate055_f5_s17_detailed.json,0.006202147809104221
promoted_tanh_c22_s5_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,22.0,22.0,5,055,bps,5,0.0,0.01,0.005091957164414795,0.008775139871806647,0.0029827107099824612,1.0,1.0,0.0010984751142453944,-0.0038757696568296,0.0121096739593665,0.0007056351313972209,0.005000644447878832,0.009129581272137437,-0.012826715443062147,-0.0014213697789794422,0.004215602259709606,True,True,0.008775139871806647,0.0055,True,0.0029827107099824612,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c22_s5_g055/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c22_s5_g055/main4_gate055_f5_s5_detailed.json,0.00575945618372198
promoted_tanh_c22_s17_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,22.0,22.0,17,055,bps,5,0.0,0.01,0.005091957164414795,0.008775139871806647,0.0029827107099824612,1.0,1.0,0.0010984751142453944,-0.0038757696568296,0.0121096739593665,0.0013517651328683058,0.004978186412626285,0.009407843063824601,-0.013571226189176371,-0.0010948201309887162,0.0032255287736277396,True,True,0.008775139871806647,0.0055,True,0.0029827107099824612,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c22_s17_g055/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c22_s17_g055/main4_gate055_f5_s17_detailed.json,0.00575945618372198
promoted_tanh_c25_s5_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,25.0,25.0,5,055,bps,5,0.0,0.01,0.004782633411009396,0.008333641275079406,0.0022639611509442936,1.0,1.0,0.0010984751142453944,-0.0038757696568296,0.0121576166943891,0.0003546726240781284,0.0047081384824562145,0.008781358792037437,-0.013981117307011114,-0.0017727068017445169,0.004105793141019343,True,True,0.008333641275079406,0.0055,True,0.0022639611509442936,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c25_s5_g055/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c25_s5_g055/main4_gate055_f5_s5_detailed.json,0.005090757650797497
promoted_tanh_c25_s17_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,25.0,25.0,17,055,bps,5,0.0,0.01,0.004782633411009396,0.008333641275079406,0.0022639611509442936,1.0,1.0,0.0010984751142453944,-0.0038757696568296,0.0121576166943891,0.0010717476111607273,0.004694036337618312,0.009059392469614791,-0.014388773515196929,-0.0014865091758860527,0.0031702503838541792,True,True,0.008333641275079406,0.0055,True,0.0022639611509442936,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c25_s17_g055/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c25_s17_g055/main4_gate055_f5_s17_detailed.json,0.005090757650797497
turnover_guard_c12_s5_g055,False,0,turnover_guard,0.015,tanh_return,1.12,5.0,-0.75,0.6,0.8,1.05,1.0,0.02,turnover_guard,12.0,12.0,5,055,bps,5,0.0,0.01,0.0045511591324049585,0.008853485009425333,0.0015372010510550371,1.0,1.0,0.0005545525258295274,-0.0016095058151572,0.0050938612673274,0.0015879354180458828,0.004528227954700692,0.007785777936916562,-0.006812455034513054,-0.0008397057659934593,0.0029170387442013857,True,True,0.008853485009425333,0.0055,True,0.0015372010510550371,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/turnover_guard_c12_s5_g055/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/turnover_guard_c12_s5_g055/main4_gate055_f5_s5_detailed.json,0.004903845263560331
turnover_guard_c12_s17_g055,False,0,turnover_guard,0.015,tanh_return,1.12,5.0,-0.75,0.6,0.8,1.05,1.0,0.02,turnover_guard,12.0,12.0,17,055,bps,5,0.0,0.01,0.0045511591324049585,0.008853485009425333,0.0015372010510550371,1.0,1.0,0.0005545525258295274,-0.0016095058151572,0.0050938612673274,0.0016560976067196609,0.004525945943807319,0.007764069698444042,-0.0076369175200231565,-0.0012764872186849519,0.0031245238023364765,True,True,0.008853485009425333,0.0055,True,0.0015372010510550371,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/turnover_guard_c12_s17_g055/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/turnover_guard_c12_s17_g055/main4_gate055_f5_s17_detailed.json,0.004903845263560331
turnover_guard_c18_s5_g055,False,0,turnover_guard,0.015,tanh_return,1.12,5.0,-0.75,0.6,0.8,1.05,1.0,0.02,turnover_guard,18.0,18.0,5,055,bps,5,0.0,0.01,0.00408436112553483,0.007771898818978951,0.0013778874459153823,1.0,1.0,0.0004694650277814758,-0.0016428709917732,0.0051662155467526,0.001140503219613025,0.003936381687140012,0.006944017861610987,-0.007425722762177278,-0.0011421403247973694,0.0027845348211406507,True,True,0.007771898818978951,0.0055,True,0.0013778874459153823,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/turnover_guard_c18_s5_g055/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/turnover_guard_c18_s5_g055/main4_gate055_f5_s5_detailed.json,0.004421206077656414
turnover_guard_c18_s17_g055,False,0,turnover_guard,0.015,tanh_return,1.12,5.0,-0.75,0.6,0.8,1.05,1.0,0.02,turnover_guard,18.0,18.0,17,055,bps,5,0.0,0.01,0.00408436112553483,0.007771898818978951,0.0013778874459153823,1.0,1.0,0.0004694650277814758,-0.0016428709917732,0.0051662155467526,0.0013128736433714872,0.004035131265926594,0.00701233717116349,-0.008079546301478469,-0.0014943001067921902,0.0028654842776240984,True,True,0.007771898818978951,0.0055,True,0.0013778874459153823,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/turnover_guard_c18_s17_g055/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/turnover_guard_c18_s17_g055/main4_gate055_f5_s17_detailed.json,0.004421206077656414
turnover_guard_c22_s5_g055,False,0,turnover_guard,0.015,tanh_return,1.12,5.0,-0.75,0.6,0.8,1.05,1.0,0.02,turnover_guard,22.0,22.0,5,055,bps,5,0.0,0.01,0.003909415810605443,0.007501527559903654,0.0012716895685229712,1.0,1.0,0.0004694650277814758,-0.0016651144428505,0.0052144503102854,0.0009927139382389703,0.0037640274402274574,0.006709895475384159,-0.007838781563420782,-0.0013819287468242458,0.002592917580759225,True,True,0.007501527559903654,0.0055,True,0.0012716895685229712,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/turnover_guard_c22_s5_g055/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/turnover_guard_c22_s5_g055/main4_gate055_f5_s5_detailed.json,0.004193161824030822
turnover_guard_c22_s17_g055,False,0,turnover_guard,0.015,tanh_return,1.12,5.0,-0.75,0.6,0.8,1.05,1.0,0.02,turnover_guard,22.0,22.0,17,055,bps,5,0.0,0.01,0.003909415810605443,0.007501527559903654,0.0012716895685229712,1.0,1.0,0.0004694650277814758,-0.0016651144428505,0.0052144503102854,0.001168012804807549,0.0038560675854689254,0.006785183969583238,-0.008254407562565874,-0.0016450674609815308,0.002765973787678811,True,True,0.007501527559903654,0.0055,True,0.0012716895685229712,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/turnover_guard_c22_s17_g055/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/turnover_guard_c22_s17_g055/main4_gate055_f5_s17_detailed.json,0.004193161824030822
turnover_guard_c25_s5_g055,False,0,turnover_guard,0.015,tanh_return,1.12,5.0,-0.75,0.6,0.8,1.05,1.0,0.02,turnover_guard,25.0,25.0,5,055,bps,5,0.0,0.01,0.0037782338684551496,0.0072988209037829765,0.001170236950797765,1.0,1.0,0.0004694650277814758,-0.0016817970311586,0.0052745079990245,0.0008940271397309652,0.0036627742584212754,0.006563843119749136,-0.008146855963752964,-0.0015402637751638637,0.0024567967099889303,True,True,0.0072988209037829765,0.0055,True,0.001170236950797765,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/turnover_guard_c25_s5_g055/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/turnover_guard_c25_s5_g055/main4_gate055_f5_s5_detailed.json,0.004011253573017925
turnover_guard_c25_s17_g055,False,0,turnover_guard,0.015,tanh_return,1.12,5.0,-0.75,0.6,0.8,1.05,1.0,0.02,turnover_guard,25.0,25.0,17,055,bps,5,0.0,0.01,0.0037782338684551496,0.0072988209037829765,0.001170236950797765,1.0,1.0,0.0004694650277814758,-0.0016817970311586,0.0052745079990245,0.0010419046695052325,0.0037386454916802257,0.006625053176827606,-0.008385535719304189,-0.0018466761348877592,0.002650310999041217,True,True,0.0072988209037829765,0.0055,True,0.001170236950797765,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/turnover_guard_c25_s17_g055/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/turnover_guard_c25_s17_g055/main4_gate055_f5_s17_detailed.json,0.004011253573017925
