policy_id,variant,mean_score,mean_test_relative,worst_robust_min,mean_turnover,mean_executed_step_rate,mean_path_bootstrap_robust_min_p05,activity_slack,path_slack,pass_non_path,pass_path,strict_eligible
strict_failmode_reference,promoted_tanh_base,0.006324861977125363,0.005668001079581808,0.0022639611509442936,0.0011292993450083457,0.041634408602150536,-0.011947522573661107,0.021634408602150535,-0.004947522573661107,True,False,False
strict_failmode_reference,promoted_tanh_tailguard_mild,0.006168062216718686,0.00544008995123626,0.0026882778634893523,0.0011903243980518063,0.04309677419354839,-0.010549379137193757,0.02309677419354839,-0.0035493791371937573,True,False,False
strict_failmode_reference,promoted_tanh_activity_boost,0.00578457411839084,0.005369397034364574,-0.00021825706748301865,0.0012892787473139,0.059956989247311826,-0.010990148742333273,0.03995698924731182,-0.003990148742333273,False,False,False
strict_failmode_reference,promoted_tanh_tailguard_med,0.005487660420576173,0.004923681532536453,0.002536333563450066,0.0010148879661641616,0.035440860215053764,-0.009156833569607925,0.015440860215053764,-0.0021568335696079246,True,False,False
strict_failmode_reference,promoted_tanh_robust_ridge,0.004869227192899888,0.005020588953271056,0.0,0.001142920181402071,0.04077419354838709,-0.010597568056451682,0.020774193548387093,-0.0035975680564516816,True,False,False
strict_boundary_probe,promoted_tanh_base,0.006324861977125363,0.005668001079581808,0.0022639611509442936,0.0011292993450083457,0.041634408602150536,-0.011947522573661107,0.022634408602150536,-0.004947522573661107,True,False,False
strict_boundary_probe,promoted_tanh_tailguard_mild,0.006168062216718686,0.00544008995123626,0.0026882778634893523,0.0011903243980518063,0.04309677419354839,-0.010549379137193757,0.02409677419354839,-0.0035493791371937573,True,False,False
strict_boundary_probe,promoted_tanh_activity_boost,0.00578457411839084,0.005369397034364574,-0.00021825706748301865,0.0012892787473139,0.059956989247311826,-0.010990148742333273,0.04095698924731182,-0.003990148742333273,False,False,False
strict_boundary_probe,promoted_tanh_tailguard_med,0.005487660420576173,0.004923681532536453,0.002536333563450066,0.0010148879661641616,0.035440860215053764,-0.009156833569607925,0.016440860215053765,-0.0021568335696079246,True,False,False
strict_boundary_probe,promoted_tanh_robust_ridge,0.004869227192899888,0.005020588953271056,0.0,0.001142920181402071,0.04077419354838709,-0.010597568056451682,0.021774193548387093,-0.0035975680564516816,True,False,False
