variant,worst_path_p05,mean_path_p05,min_case_slack,sentinel_non_path_ok,sentinel_activity_min,sentinel_robust_min
v25j_n12,-0.007443567285361785,-0.005979248684757079,-0.00044356728536178516,True,0.022365591397849462,0.0011976271190403676
v25j_ref,-0.007972679399081129,-0.00620205363452903,-0.000972679399081129,True,0.02193548387096774,0.0033314360926126607
v25j_n11,-0.008815993246886067,-0.0074566358389535235,-0.0018159932468860664,True,0.024086021505376344,0.0022767586126222206
v25j_n1,-0.009081454181339614,-0.00756281176714933,-0.0020814541813396143,True,0.02193548387096774,0.001203612567838075
v25j_n14,-0.010955903685608259,-0.009476030224976142,-0.003955903685608259,True,0.021505376344086023,0.001083477415081191
v25j_n13,-0.011003564815599314,-0.009021592306640017,-0.004003564815599314,True,0.024086021505376344,0.003338604509833587
v25j_n15,-0.011123455791599028,-0.008560823865903486,-0.004123455791599028,True,0.02064516129032258,0.0010618980897094676
v25j_n6,-0.011634886596873627,-0.008020214886055508,-0.004634886596873627,True,0.02924731182795699,0.0022691670012695564
v25j_n8,-0.011648004766464637,-0.007984665854444411,-0.004648004766464636,True,0.031827956989247314,0.003030488897945771
v25j_n7,-0.011649814072977304,-0.008025202928519127,-0.004649814072977304,True,0.02924731182795699,0.002280830434822745
v25j_n3,-0.01200368353709581,-0.009791961559712728,-0.00500368353709581,True,0.03053763440860215,0.0021984924418758656
v25j_n2,-0.01231714522557652,-0.00912021424976105,-0.005317145225576521,True,0.03053763440860215,0.0019553208720317627
v25j_n4,-0.011214247009908128,-0.009079118944255244,-0.004214247009908128,False,0.018494623655913978,0.0
v25j_n5,-0.014088138657997806,-0.010533330679096701,-0.0070881386579978055,False,0.018494623655913978,-0.003929906017367424
v25j_n9,-0.014203686759614564,-0.010347649696637217,-0.007203686759614564,False,0.017204301075268817,-0.004350495457434933
v25j_n10,-0.014212673385613911,-0.01044739072137719,-0.007212673385613911,False,0.0189247311827957,-0.004352681425893845
