variant,scenario,scenario_group,rows,pass_non_path,pass_case_floor,min_case_path,mean_path,min_case_slack,mean_case_slack,mean_test_relative,mean_turnover,mean_executed_step_rate
v25p_a,altblock_b24_s4242,sentinel,8,True,True,-0.00422779091194615,-0.0036734255022255902,0.00277220908805385,0.00332657449777441,0.005345294671968026,0.0006707529060632234,0.024086021505376344
v25p_a,baseline_b20_s4242,sentinel,8,True,True,-0.005534879411018822,-0.00469543105156325,0.0014651205889811784,0.00230456894843675,0.005345294671968026,0.0006707529060632234,0.024086021505376344
v25p_a,rand_b10_p10706,random_shortblock,12,True,True,-0.006897183194248607,-0.0057571209382789425,0.00010281680575139306,0.0012428790617210576,0.005460205300093508,0.0006707529060632234,0.024086021505376348
v25p_a,rand_b10_p5959,random_shortblock,12,True,True,-0.005981328675015357,-0.004901004867342525,0.001018671324984643,0.0020989951326574755,0.005460205300093508,0.0006707529060632234,0.024086021505376348
v25p_a,rand_b11_p10167,random_shortblock,12,True,True,-0.006502442576691353,-0.005799235875895106,0.0004975574233086468,0.001200764124104894,0.005460205300093508,0.0006707529060632234,0.024086021505376348
v25p_a,rand_b12_p7573,random_shortblock,12,True,True,-0.0060550335012479915,-0.005213853197886725,0.0009449664987520087,0.0017861468021132748,0.005460205300093508,0.0006707529060632234,0.024086021505376348
v25p_a,rand_b13_p11187,random_shortblock,12,True,True,-0.00626834119866998,-0.005330441756482704,0.0007316588013300202,0.0016695582435172964,0.005460205300093508,0.0006707529060632234,0.024086021505376348
v25p_a,rand_b13_p6575,random_shortblock,12,True,False,-0.0072686015568848685,-0.005675955743420775,-0.00026860155688486834,0.0013240442565792248,0.005460205300093508,0.0006707529060632234,0.024086021505376348
v25p_a,stress_b30_s10010,sentinel,8,True,True,-0.003940763193447816,-0.0031832678633085163,0.0030592368065521843,0.003816732136691484,0.005345294671968026,0.0006707529060632234,0.024086021505376344
v25p_ref_n8,altblock_b24_s4242,sentinel,8,True,True,-0.004331708687348245,-0.00375460133770169,0.002668291312651755,0.00324539866229831,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25p_ref_n8,baseline_b20_s4242,sentinel,8,True,True,-0.006068006478306237,-0.004890751247030595,0.0009319935216937627,0.002109248752969405,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25p_ref_n8,rand_b10_p10706,random_shortblock,12,True,True,-0.006938736258814732,-0.005815548904936386,6.126374118526831e-05,0.0011844510950636145,0.005405167897253715,0.0006714764520370679,0.024086021505376348
v25p_ref_n8,rand_b10_p5959,random_shortblock,12,True,True,-0.0059905471932433785,-0.004954054810650275,0.0010094528067566217,0.0020459451893497255,0.005405167897253715,0.0006714764520370679,0.024086021505376348
v25p_ref_n8,rand_b11_p10167,random_shortblock,12,True,True,-0.006512850676168175,-0.005826354138837016,0.00048714932383182516,0.0011736458611629839,0.005405167897253715,0.0006714764520370679,0.024086021505376348
v25p_ref_n8,rand_b12_p7573,random_shortblock,12,True,True,-0.00606634446995209,-0.0052309377365020865,0.0009336555300479103,0.0017690622634979137,0.005405167897253715,0.0006714764520370679,0.024086021505376348
v25p_ref_n8,rand_b13_p11187,random_shortblock,12,True,True,-0.006282583950417314,-0.0053608519825072394,0.0007174160495826863,0.0016391480174927607,0.005405167897253715,0.0006714764520370679,0.024086021505376348
v25p_ref_n8,rand_b13_p6575,random_shortblock,12,True,False,-0.007281163198135754,-0.005723002785239135,-0.00028116319813575354,0.0012769972147608655,0.005405167897253715,0.0006714764520370679,0.024086021505376348
v25p_ref_n8,stress_b30_s10010,sentinel,8,True,True,-0.003951508743364495,-0.003299191375796654,0.003048491256635505,0.003700808624203346,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25p_ref_nA,altblock_b24_s4242,sentinel,8,True,True,-0.004331704036036132,-0.0037545984664521586,0.002668295963963868,0.0032454015335478415,0.005290087542365462,0.0006714762540477564,0.024086021505376344
v25p_ref_nA,baseline_b20_s4242,sentinel,8,True,True,-0.006068001540387924,-0.004890748331216213,0.0009319984596120766,0.0021092516687837874,0.005290087542365462,0.0006714762540477564,0.024086021505376344
v25p_ref_nA,rand_b10_p10706,random_shortblock,12,True,True,-0.006938735195488,-0.005815544609496307,6.126480451200053e-05,0.0011844553905036928,0.005405167006326961,0.0006714762540477565,0.024086021505376348
v25p_ref_nA,rand_b10_p5959,random_shortblock,12,True,True,-0.005990543863399716,-0.004954051581142459,0.0010094561366002838,0.0020459484188575412,0.005405167006326961,0.0006714762540477565,0.024086021505376348
v25p_ref_nA,rand_b11_p10167,random_shortblock,12,True,True,-0.006512845108235732,-0.005826351108498907,0.0004871548917642684,0.0011736488915010928,0.005405167006326961,0.0006714762540477565,0.024086021505376348
v25p_ref_nA,rand_b12_p7573,random_shortblock,12,True,True,-0.006066340152352128,-0.00523093390688529,0.0009336598476478719,0.00176906609311471,0.005405167006326961,0.0006714762540477565,0.024086021505376348
v25p_ref_nA,rand_b13_p11187,random_shortblock,12,True,True,-0.006282577453279725,-0.005360848517021046,0.0007174225467202755,0.0016391514829789539,0.005405167006326961,0.0006714762540477565,0.024086021505376348
v25p_ref_nA,rand_b13_p6575,random_shortblock,12,True,False,-0.007281161431954908,-0.005723001189932345,-0.00028116143195490786,0.001276998810067655,0.005405167006326961,0.0006714762540477565,0.024086021505376348
v25p_ref_nA,stress_b30_s10010,sentinel,8,True,True,-0.003951504731369793,-0.003299189282726115,0.0030484952686302075,0.003700810717273885,0.005290087542365462,0.0006714762540477564,0.024086021505376344
